,Temperature,Fuel_propane_mole_frac,Solar_heat_rate
0,318.0,0.0,500.0
1,318.0,0.0,1000.0
2,318.0,0.0,1500.0
3,318.0,0.0,2000.0
4,318.0,0.0,2500.0
5,318.0,0.25,500.0
6,318.0,0.25,1000.0
7,318.0,0.25,1500.0
8,318.0,0.25,2000.0
9,318.0,0.25,2500.0
10,318.0,0.5,500.0
11,318.0,0.5,1000.0
12,318.0,0.5,1500.0
13,318.0,0.5,2000.0
14,318.0,0.5,2500.0
15,303.0,0.0,500.0
16,303.0,0.0,1000.0
17,303.0,0.0,1500.0
18,303.0,0.0,2000.0
19,303.0,0.0,2500.0
20,303.0,0.25,500.0
21,303.0,0.25,1000.0
22,303.0,0.25,1500.0
23,303.0,0.25,2000.0
24,303.0,0.25,2500.0
25,303.0,0.5,500.0
26,303.0,0.5,1000.0
27,303.0,0.5,1500.0
28,303.0,0.5,2000.0
29,303.0,0.5,2500.0
30,288.0,0.0,500.0
31,288.0,0.0,1000.0
32,288.0,0.0,1500.0
33,288.0,0.0,2000.0
34,288.0,0.0,2500.0
35,288.0,0.25,500.0
36,288.0,0.25,1000.0
37,288.0,0.25,1500.0
38,288.0,0.25,2000.0
39,288.0,0.25,2500.0
40,288.0,0.5,500.0
41,288.0,0.5,1000.0
42,288.0,0.5,1500.0
43,288.0,0.5,2000.0
44,288.0,0.5,2500.0
45,268.0,0.0,500.0
46,268.0,0.0,1000.0
47,268.0,0.0,1500.0
48,268.0,0.0,2000.0
49,268.0,0.0,2500.0
50,268.0,0.25,500.0
51,268.0,0.25,1000.0
52,268.0,0.25,1500.0
53,268.0,0.25,2000.0
54,268.0,0.25,2500.0
55,268.0,0.5,500.0
56,268.0,0.5,1000.0
57,268.0,0.5,1500.0
58,268.0,0.5,2000.0
59,268.0,0.5,2500.0
