,Air_fuel_ratio,System_efficiency
0,0.5741456642373223,0.8814814814814815
1,0.6598599266048748,0.8955092592592592
2,0.7756578554928267,0.9097222222222223
3,0.9407503103072674,0.9247453703703704
4,1.1951197389741843,0.9400925925925926
5,0.8026069896150227,0.93125
6,0.9224284945010854,0.9399305555555556
7,1.0843047033511548,0.9486111111111111
8,1.3150899625506725,0.9560185185185185
9,1.6706763513585288,0.9664351851851851
10,1.0310683149927233,0.961574074074074
11,1.1849970623972963,0.9664351851851851
12,1.3929515512094832,0.9715277777777779
13,1.6894279805227543,0.9766666666666667
14,2.1462329637428734,0.9819444444444445
15,0.5601138106549588,0.9148148148148149
16,0.6372066380832612,0.9287037037037037
17,0.7389079962444444,0.9428240740740741
18,0.8792379719673439,0.9574074074074075
19,1.085368613982662,0.9724537037037037
20,0.7831755035802798,0.9671296296296297
21,0.8909720400690643,0.9756944444444444
22,1.033186330627797,0.9842592592592593
23,1.2293969457103238,0.9930555555555556
24,1.517617036297983,1.0020833333333334
25,1.0062535392188345,0.9988425925925926
26,1.144754765330895,1.0040046296296297
27,1.3274532251118862,1.0091898148148148
28,1.5795722621665371,1.0143518518518517
29,1.9498883384118313,1.0195601851851852
30,0.5466980773615017,0.9470601851851852
31,0.6159748387587055,0.9606481481481481
32,0.7053547717045532,0.9743055555555555
33,0.8250749517685675,0.9886574074074074
34,0.9937464607811652,1.0032407407407409
35,0.7646183527035341,1.001851851851852
36,0.8615077623802181,1.0103240740740742
37,0.9865156273109617,1.018888888888889
38,1.1539573471527316,1.0276064814814814
39,1.3898611441370108,1.0363425925925926
40,0.9825369937742434,1.0352083333333333
41,1.1070406860017306,1.0402777777777779
42,1.2676764829173701,1.0453703703703703
43,1.482841376808219,1.050462962962963
44,1.7859774617641793,1.0555555555555556
45,0.5297049241412108,0.988287037037037
46,0.5896565333673262,1.0011574074074074
47,0.6649098249940553,1.0145833333333334
48,0.7621816541604053,1.0282407407407408
49,0.8927909840519632,1.042361111111111
50,0.7410962855464227,1.0460648148148148
51,0.8249736269465192,1.0543981481481481
52,0.9302582884113003,1.0627314814814814
53,1.0663489643214055,1.0712962962962962
54,1.2490801095288642,1.0798611111111112
55,0.952489281222958,1.0814814814814815
56,1.0602907205257124,1.0863425925925927
57,1.1956067518285451,1.0914351851851851
58,1.3705162744824058,1.0967592592592592
59,1.605370869277088,1.1018518518518519
