T,g,Qs,a,n
318.0,0.0,500.0,35.13,0.3808
318.0,0.0,1500.0,47.46,0.393
318.0,0.0,2500.0,73.12,0.4061
318.0,0.25,1500.0,66.34,0.4098
318.0,0.5,500.0,63.09,0.4154
318.0,0.5,1500.0,85.23,0.4197
318.0,0.5,2500.0,131.32,0.4242
303.0,0.0,1000.0,38.99,0.4012
303.0,0.0,2000.0,53.8,0.4136
303.0,0.25,1000.0,54.51,0.4215
303.0,0.25,2000.0,75.22,0.429
303.0,0.5,1000.0,70.04,0.4337
303.0,0.5,2000.0,96.65,0.4382
288.0,0.0,500.0,33.45,0.4091
288.0,0.0,2500.0,60.8,0.4334
288.0,0.25,2500.0,85.044,0.4477
288.0,0.5,1500.0,77.56,0.4516
268.0,0.0,1500.0,40.68,0.4383
268.0,0.25,2000.0,65.24,0.4628
268.0,0.5,2500.0,98.23,0.476
